"","HPC1401","HPC1403","HPC1406","HPC1408","HPC1409","HPC1410","HPC1412","HPC1413","HPC1414","HPC1415","HPC1416","HPC1417","HPC1418","HPC1419","HPC1420","HPC1421","HPC1422","HPC1423","HPC1425","HPC1426","HPC1428","HPC1429","HPC1430","HPC1417KNZ"
"50757f7f60944cfbcd89d12caf5751ce",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51194b8233acaff275c41bf94ca2c735",4,2,0,3,32,0,10,3,14,2,0,5,16,2,18,2,0,9,10,11,9,3,0,3
"51908ef8c74539aa92b2b9786e011934",37,0,5,23,1,0,7,8,5,3,0,15,11,6,26,33,1,7,11,4,95,4,13,2
"522f17a20b884e53b7e2693b431fce4c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0
"533abe2f5244fc57bf94b9bc19d75444",0,0,0,0,4,0,0,0,0,0,0,0,1,0,4,11,3,0,0,0,2,0,0,0
"53cf7e6e54540db448c911fd5e92d798",0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"54b38c88d9c93b19d675949e52a590c6",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55062e73de4a329a87628ff9f37b1ad7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
"5642157fa573ca5b7b2c265fdd1d376a",0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0
"5676840dcb48c723631bddfa87256e53",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57bdaf7acf546676afff67df37e9a1b5",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"57f88509141dd7b2173f2dd7050ae2e7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"57feab577c9e905b89f4a0d0e19a1631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"5896b1cec977d0f477406bd762fa00e7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"58dcb86eead72f784772ae9fa7028978",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"595d437ce282c9150ef0b359609dbc2d",0,0,0,12,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"5977ffe9b8a552672171aff53bcf1152",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"598684eadeabc0014634de995cee3978",0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
"5a20b9f9b38234c1dac21cd942876080",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5b9ee1e7e133e5d0eb7975ec2ee5b940",0,0,47,0,0,0,0,0,0,0,0,0,2,5,0,0,0,36,0,0,0,0,3,0
"5bc648bddeb33a57dc2d0c1c85d2e8e7",0,0,3,0,0,0,0,0,0,23,0,0,15,0,4,0,0,0,0,0,0,0,0,0
"5c35358f9cf2811d7c01d6ae6338ac4c",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"5cad4c8578bb6a3fde296dc310ed4bc8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
"5d51b87ca19401d742cc4419b0f302b1",3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
