"","HPC1463","HPC1464","HPC1465","HPC1466","HPC1467","HPC1468","HPC1471","HPC1472","HPC1473","HPC1474","HPC1475","HPC1476","HPC1477","HPC1478","HPC1479","HPC1480","HPC1483","HPC1486","HPC1487","HPC1490","HPC1483KNZ"
"84b6319cc04e29b3d9fd9017fb8c1d5e",0,0,3,0,8,1,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1
"8515468dfd4d318c5bc5d748f1ccd16c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0
"879ffc2e01575192ecf08bb9bc4eeae4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"886f024af5e21a062aeaa40bb36f42af",0,23,5,0,9,0,0,0,21,0,4,3,0,23,0,1,0,0,11,0,0
"899ba4404973108836172f918df1ac61",0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8a506093618486094e4ea9195c45bfd4",0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8b5ecd57089cba9b733889ce44f0668c",0,0,86,1,60,0,20,7,0,47,15,5,0,0,3,0,0,0,0,0,5
"8c694aec46d18add999eab7efd4cc97e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"8c7a7c219e993196770879aabacf39d8",0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8d03a02f499c122acf65553e758ec372",0,1,0,0,0,0,0,0,0,4,0,0,0,11,2,0,0,2,10,0,0
"8d8e69bab1d530d643fb5a2b2bd00740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"8e8de8ad663b3c59d523b0802ea5a7ea",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,11,2,0,10,0
"8f325bf51a0d50864541831d59c18210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"91b096d235ee04c097596d94d00a896c",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
