"","HPC1491","HPC1492","HPC1493","HPC1494","HPC1495","HPC1496","HPC1497","HPC1498","HPC1500","HPC1501","HPC1502","HPC1503","HPC1504","HPC1506","HPC1507","HPC1512","HPC1515","HPC1517","HPC1518","HPC1519","HPC1520","HPC1518KNZ"
"0d205189461a213eec32642977f0761a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"0d30f03a89e08e2c570de556a4032d00",0,0,0,0,0,0,0,0,21,0,0,3,4,0,0,1,0,0,0,0,0,0
"0d64e0170fd5c43d58714adb75f53603",0,0,1,0,1,0,2,6,0,0,1,0,2,0,0,0,0,0,1,0,0,3
"0db587bb2a24679c3dedd2f3d99bdffe",0,0,0,0,9,10,0,0,0,0,22,0,0,0,36,191,21,0,0,0,0,0
"0fd321a89348e331185791939bd83635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
"1001f50b31121a770c6b6cd5d8ed96c8",0,0,0,10,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10682ee1eb9e040a49b00b35f5920015",1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"10839859eac5ca8431ee848d9f00803f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"10e5f4a0a45782e74568a9ed32c54bbe",0,0,97,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"128a7930b5f5e4376c85a4d10e619b67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"12d5be2618953ce779e808db22ea0f03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"1306cfc10b8ca165e6efb11e3595ef4b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"134dadfafac1322ae3f3ded21fbcf714",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"13e7d8f598035447d123840e986a771a",0,195,0,107,0,0,0,0,3,0,0,8,0,0,0,0,0,11,70,0,0,63
"14e02c3f063caa94b0cc4cd379e48340",0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
"156b18a672954bed155804f37327c646",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"157a3ae68f649aa19985b36aeb2b5cc6",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"167696ae6e3b36b97b3525082d6ba727",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169f1397c4e27946716ce2b984c6edc7",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0
"1728571482f6c0f88e98c3a94d9fe951",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0
"17332728e59dc0a6d6015eb75b324a49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"17c3ac8d97271940b3d9c956e97057a9",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"1865baa970105b9d8ae8063fb9ba26bd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1b008844ab1e1200398d3a38eeafcf19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"1b437b0b51c7ee2733a1069ac7ddf3b2",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
