"","HPC1581","HPC1583","HPC1584","HPC1585","HPC1586","HPC1587","HPC1589","HPC1591","HPC1592","HPC1594","HPC1596","HPC1597","HPC1599","HPC1600","HPC1601","HPC1602","HPC1603","HPC1605","HPC1607","HPC1608","HPC1609","HPC1610"
"4a0b87e83c78e60b7434ae4d2291b0f2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4a1e0c5afab7b818861f544d18035c0e",0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4a46814357f11ab6347f1fc0b35bfb21",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4aa24e7a15922e1b6971014a2889877d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"4b0ead77f523ebf0b906dc66687e5813",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"4b510fc55ea201122038492299711e2c",0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0
"4bade005242553b6a45563dd3e5401ef",0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d06fd961ccde5a149ee9949629301a4",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d48d7ff5be648dbff5d977be48b6c8e",0,0,0,4,0,0,0,0,0,0,0,0,0,12,0,0,0,0,7,0,0,0
"4d4da7446dd75ffbca560cec7ba387e4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"4d7192c5a137cf7ed293a21a21043126",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4f5678f16e6e19f7f6638d8f5dd476ef",17,0,0,0,0,0,0,0,6,1,0,6,0,0,7,0,4,21,7,0,0,0
"50757f7f60944cfbcd89d12caf5751ce",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"51194b8233acaff275c41bf94ca2c735",5,2,10,9,0,6,5,3,0,0,0,0,16,0,2,12,2,17,0,0,8,3
"525ee868e5c567443c5ec9d71944ace9",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5325b623f48091942b79da221094c206",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53353788c0056c2ae8a0796ff05c4fbb",0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53b6ba92f3934bb0f4618a8afcc2d86e",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53ea7c64178dbbce1e1a4722bfaeec1e",0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"54305693ac20167cca877f883539d0a4",0,2,0,0,0,0,0,0,3,8,2,0,0,16,0,2,5,22,26,0,6,0
"55062e73de4a329a87628ff9f37b1ad7",0,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"551a9288ab430c36fa0558e4ed2cda14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"55b58124016596c4a6b7b2c4b7633efb",0,0,8,0,0,2,2,9,5,0,1,23,2,0,42,0,0,5,0,2,2,2
"55dc227df61b5886c6219fc13e273064",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"55e8e0fb06bcd13c165ab6e4d7a69454",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"55fe9c03d4607d3aad26545e3a255064",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5813627435f3aed5adbbc25232f2ad34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"58d1fb1381134f57de1763362ac89570",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5941f3917fdf9222dc0219c64ef62760",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"598684eadeabc0014634de995cee3978",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5995e644fe223f3ae9031b8851811d15",0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0
"599ba66d283d1c6022c41e2d2cec4728",0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5bc648bddeb33a57dc2d0c1c85d2e8e7",0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
