,Kingdom,Phylum,Class,Order,Family,Genera,Species
401,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Phaeosphaeriaceae,,
404,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,,
405,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavaria,s__unidentified
407,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Sporormiaceae,,
408,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
411,k__Fungi,p__Ascomycota,c__Leotiomycetes,o__Helotiales,,,
416,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__Chaetothyriales,f__Herpotrichiellaceae,g__unidentified,s__unidentified
417,k__Fungi,p__Ascomycota,c__Sordariomycetes,,,,
419,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Bolbitiaceae,g__Agrocybe,
420,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,,,
422,k__Fungi,,,,,,
423,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__Kamienskia,
425,k__Fungi,p__Ascomycota,,,,,
430,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__Orbiliales,f__Orbiliaceae,,
433,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,,
435,k__Fungi,p__Chytridiomycota,c__Chytridiomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
437,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Sebacinales,,,
439,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,,
440,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Coniochaetales,,,
441,k__Fungi,p__Basidiomycota,c__Cystobasidiomycetes,,,,
446,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Marasmiaceae,g__Marasmius,
448,k__Fungi,p__Glomeromycota,c__Paraglomeromycetes,o__Paraglomerales,f__Paraglomeraceae,g__Paraglomus,
449,k__Fungi,p__unidentified,c__unidentified,o__unidentified,f__unidentified,g__unidentified,s__unidentified
450,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,
453,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Gigasporales,f__Gigasporaceae,g__Scutellospora,
457,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
458,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__unidentified,g__unidentified,s__unidentified
459,k__Fungi,p__Ascomycota,c__Geoglossomycetes,o__Geoglossales,f__Geoglossaceae,g__Geoglossum,s__unidentified
461,k__Fungi,p__Mucoromycota,c__Endogonomycetes,o__Endogonales,f__unidentified,g__unidentified,s__unidentified
463,k__Fungi,p__Basidiomycota,c__Pucciniomycetes,o__Septobasidiales,f__Septobasidiaceae,g__Septobasidium,
464,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Clavariaceae,g__Clavulinopsis,s__Clavulinopsis_luteonana
465,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,g__Thanatephorus,s__Thanatephorus_cucumeris
466,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,,,
467,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Cantharellales,f__Ceratobasidiaceae,,
469,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__unidentified,g__unidentified,s__unidentified
470,k__Fungi,p__Basidiomycota,c__Agaricomycetes,o__Agaricales,f__Hygrophoraceae,g__Hygrocybe,s__unidentified
473,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,,
475,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
476,k__Fungi,p__Ascomycota,c__Eurotiomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
477,k__Fungi,,,,,,
478,k__Fungi,p__Glomeromycota,c__Glomeromycetes,o__Glomerales,f__Glomeraceae,g__unidentified,s__unidentified
480,k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Xylariales,f__Xylariaceae,,
482,k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,,,
483,k__Fungi,p__Ascomycota,c__Orbiliomycetes,o__unidentified,f__unidentified,g__unidentified,s__unidentified
